# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train, win_rate, training_time
7,size_7_size_7_NN_11_epoch_178,126,proportional,cuda,0.00025,Adam,378000,0.1,1000,74.0,0.997,0.926,10.0,0.1,0.926,15440.160257101059
7,size_7_size_7_NN_11_epoch_178,127,proportional,cuda,0.00025,Adam,381000,0.1,1000,89.0,0.985,0.911,10.5,0.1,0.911,15562.552245140076
7,size_7_size_7_NN_11_epoch_178,128,proportional,cuda,0.00025,Adam,384000,0.1,1000,83.0,0.998,0.917,9.9,0.1,0.917,15685.940933942795
7,size_7_size_7_NN_11_epoch_178,129,proportional,cuda,0.00025,Adam,387000,0.1,1000,65.0,0.997,0.9359999999999999,9.8,0.1,0.935,15808.623667001724
7,size_7_size_7_NN_11_epoch_178,130,proportional,cuda,0.00025,Adam,390000,0.1,1000,88.0,0.99,0.914,10.4,0.1,0.912,15929.537332773209
7,size_7_size_7_NN_11_epoch_178,131,proportional,cuda,0.00025,Adam,393000,0.1,1000,84.0,0.995,0.918,10.2,0.1,0.916,16052.50385260582
7,size_7_size_7_NN_11_epoch_178,132,proportional,cuda,0.00025,Adam,396000,0.1,1000,93.0,0.997,0.907,10.1,0.1,0.907,16174.109530210495
7,size_7_size_7_NN_11_epoch_178,133,proportional,cuda,0.00025,Adam,399000,0.1,1000,97.0,0.997,0.903,10.1,0.1,0.903,16296.239643096924
7,size_7_size_7_NN_11_epoch_178,134,proportional,cuda,0.00025,Adam,402000,0.1,1000,84.0,0.992,0.916,10.0,0.1,0.916,16417.827238082886
7,size_7_size_7_NN_11_epoch_178,135,proportional,cuda,0.00025,Adam,405000,0.1,1000,93.0,0.994,0.907,10.4,0.1,0.907,16539.844547510147
7,size_7_size_7_NN_11_epoch_178,136,proportional,cuda,0.00025,Adam,408000,0.1,1000,75.0,0.995,0.925,10.1,0.1,0.925,16663.487820625305
7,size_7_size_7_NN_11_epoch_178,137,proportional,cuda,0.00025,Adam,411000,0.1,1000,76.0,0.995,0.924,10.0,0.1,0.924,16784.68917989731
7,size_7_size_7_NN_11_epoch_178,138,proportional,cuda,0.00025,Adam,414000,0.1,1000,104.0,0.992,0.896,10.5,0.1,0.896,16906.943329572678
7,size_7_size_7_NN_11_epoch_178,139,proportional,cuda,0.00025,Adam,417000,0.1,1000,91.0,0.99,0.914,10.2,0.1,0.909,17031.161516189575
7,size_7_size_7_NN_11_epoch_178,140,proportional,cuda,0.00025,Adam,420000,0.1,1000,90.0,0.998,0.91,10.2,0.1,0.91,17152.973744869232
7,size_7_size_7_NN_11_epoch_178,141,proportional,cuda,0.00025,Adam,423000,0.1,1000,90.0,0.991,0.912,10.4,0.1,0.91,17274.437811613083
7,size_7_size_7_NN_11_epoch_178,142,proportional,cuda,0.00025,Adam,426000,0.1,1000,76.0,0.993,0.925,10.3,0.1,0.924,17395.4350669384
7,size_7_size_7_NN_11_epoch_178,143,proportional,cuda,0.00025,Adam,429000,0.1,1000,66.0,0.996,0.9339999999999999,10.0,0.1,0.934,17519.874641895294
7,size_7_size_7_NN_11_epoch_178,144,proportional,cuda,0.00025,Adam,432000,0.1,1000,82.0,0.996,0.918,10.1,0.1,0.918,17641.691004276276
7,size_7_size_7_NN_11_epoch_178,145,proportional,cuda,0.00025,Adam,435000,0.1,1000,97.0,0.991,0.904,10.5,0.1,0.903,17763.5985121727
7,size_7_size_7_NN_11_epoch_178,146,proportional,cuda,0.00025,Adam,438000,0.1,1000,93.0,0.99,0.908,10.4,0.1,0.907,17885.129826068878
7,size_7_size_7_NN_11_epoch_178,147,proportional,cuda,0.00025,Adam,441000,0.1,1000,81.0,0.991,0.92,10.3,0.1,0.919,18009.740179777145
7,size_7_size_7_NN_11_epoch_178,148,proportional,cuda,0.00025,Adam,444000,0.1,1000,99.0,0.99,0.902,10.5,0.1,0.901,18134.004312753677
7,size_7_size_7_NN_11_epoch_178,149,proportional,cuda,0.00025,Adam,447000,0.1,1000,82.0,0.992,0.918,10.4,0.1,0.918,18255.530903816223
7,size_7_size_7_NN_11_epoch_178,150,proportional,cuda,0.00025,Adam,450000,0.1,1000,100.0,0.993,0.901,10.4,0.1,0.9,18375.814983844757
7,size_7_size_7_NN_11_epoch_178,151,proportional,cuda,0.00025,Adam,453000,0.1,1000,87.0,0.994,0.914,10.2,0.1,0.913,18498.54252552986
7,size_7_size_7_NN_11_epoch_178,152,proportional,cuda,0.00025,Adam,456000,0.1,1000,76.0,0.996,0.924,10.2,0.1,0.924,18618.96805715561
7,size_7_size_7_NN_11_epoch_178,153,proportional,cuda,0.00025,Adam,459000,0.1,1000,71.0,0.996,0.9299999999999999,10.1,0.1,0.929,18740.54417681694
7,size_7_size_7_NN_11_epoch_178,154,proportional,cuda,0.00025,Adam,462000,0.1,1000,96.0,0.994,0.904,10.2,0.1,0.904,18861.00347304344
7,size_7_size_7_NN_11_epoch_178,155,proportional,cuda,0.00025,Adam,465000,0.1,1000,102.0,0.996,0.898,10.3,0.1,0.898,18982.409787416458
7,size_7_size_7_NN_11_epoch_178,156,proportional,cuda,0.00025,Adam,468000,0.1,1000,81.0,0.987,0.921,10.3,0.1,0.919,19102.35851430893
7,size_7_size_7_NN_11_epoch_178,157,proportional,cuda,0.00025,Adam,471000,0.1,1000,73.0,0.994,0.927,10.1,0.1,0.927,19223.255326986313
7,size_7_size_7_NN_11_epoch_178,158,proportional,cuda,0.00025,Adam,474000,0.1,1000,75.0,0.996,0.925,10.1,0.1,0.925,19344.683623313904
7,size_7_size_7_NN_11_epoch_178,159,proportional,cuda,0.00025,Adam,477000,0.1,1000,71.0,0.995,0.9299999999999999,10.1,0.1,0.929,19465.808329105377
7,size_7_size_7_NN_11_epoch_178,160,proportional,cuda,0.00025,Adam,480000,0.1,1000,98.0,0.994,0.903,10.2,0.1,0.902,19587.81315612793
7,size_7_size_7_NN_11_epoch_178,161,proportional,cuda,0.00025,Adam,483000,0.1,1000,92.0,0.989,0.91,10.4,0.1,0.908,19710.588384628296
7,size_7_size_7_NN_11_epoch_178,162,proportional,cuda,0.00025,Adam,486000,0.1,1000,77.0,0.999,0.923,10.1,0.1,0.923,19832.723590135574
7,size_7_size_7_NN_11_epoch_178,163,proportional,cuda,0.00025,Adam,489000,0.1,1000,75.0,0.992,0.926,10.2,0.1,0.925,19955.71790957451
7,size_7_size_7_NN_11_epoch_178,164,proportional,cuda,0.00025,Adam,492000,0.1,1000,79.0,0.997,0.921,10.0,0.1,0.921,20078.684129714966
7,size_7_size_7_NN_11_epoch_178,165,proportional,cuda,0.00025,Adam,495000,0.1,1000,82.0,0.989,0.918,10.3,0.1,0.918,20202.67464876175
